,0,1,2
143,-129.5973,-212.9496,-236.8247
144,-134.5033,-214.5033,-236.5112
145,-129.7699,-203.313,-230.4823
146,-109.8335,-215.2394,-226.3967
147,-115.3365,-214.3026,-225.3003
148,-115.1922,-214.6592,-227.623
149,-108.0597,-216.3434,-241.903
150,-86.4092,-213.3958,-230.787
151,-105.3967,-208.1026,-227.1633
152,-110.6007,-200.973,-237.6901
153,-118.949,-212.3595,-232.6422
154,-121.932,-208.1262,-232.6061
155,-127.5462,-204.0,-227.0887
156,-129.7544,-192.2099,-225.7834
157,-142.7975,-210.8206,-225.1913
158,-134.6326,-207.9383,-234.1721
159,-140.795,-201.4769,-232.0109
160,-140.9018,-200.4345,-230.3273
161,-162.9587,-200.3163,-232.0997
162,-153.9708,-208.4543,-234.0653
163,-146.9831,-199.1686,-233.8099
164,-155.8242,-214.7338,-229.4745
165,-167.7119,-208.9737,-233.7693
166,-162.0075,-209.7488,-226.9068
167,-160.8429,-198.0714,-234.4461
168,-167.542,-218.3912,-230.1239
169,-174.0035,-199.0172,-237.4222
170,-173.1934,-203.0021,-240.6118
171,-177.5827,-208.4635,-228.3988
172,-169.3689,-199.6541,-235.0043
173,-170.9915,-204.8418,-231.4024
174,-180.834,-204.1673,-236.5642
175,-184.5472,-211.2285,-230.2206
176,-184.481,-198.9209,-236.4589
177,-178.8233,-204.7354,-231.435
178,-183.4728,-197.8993,-233.5215
179,-190.7158,-216.6987,-236.2473
180,-185.1931,-221.3361,-238.9035
181,-192.3415,-216.3318,-229.9012
182,-187.3593,-228.7228,-244.1196
183,-184.1226,-227.9852,-243.7519
184,-177.0849,-223.0921,-233.7322
185,-184.0751,-233.9765,-241.6744
186,-173.7882,-211.6457,-232.1775
187,-170.5616,-230.2873,-231.263
188,-176.9883,-218.8933,-237.2319
189,-162.8987,-209.0766,-232.1989
190,-171.3031,-221.9537,-236.4894
191,-169.0635,-229.8074,-239.7813
192,-167.5385,-219.7378,-245.553
193,-166.3304,-211.6637,-234.0424
194,-156.9464,-216.7706,-230.1096
195,-159.1777,-217.3167,-232.9136
196,-161.8855,-212.6007,-235.0693
197,-158.084,-213.2354,-237.2233
198,-146.7734,-222.2416,-236.7633
199,-144.5428,-220.3821,-239.7653
200,-143.5975,-220.0991,-236.3677
201,-144.7478,-214.0817,-233.7121
202,-139.2902,-202.3008,-235.9447
203,-144.0523,-206.9006,-227.6749
204,-129.9774,-222.8285,-241.0819
205,-134.7105,-211.671,-227.9762
206,-122.5783,-204.3517,-232.6004
207,-120.6755,-216.6728,-230.5457
208,-110.1363,-206.8224,-236.4349
209,-114.2628,-215.6861,-234.0402
210,-109.0154,-207.6777,-234.9049
211,-115.5343,-209.9245,-224.5173
212,-109.5126,-210.5962,-239.5529
213,-114.4443,-205.2906,-235.0488
214,-134.3993,-205.857,-232.1613
215,-131.8006,-207.5804,-237.8582
216,-133.6477,-200.6757,-237.8617
217,-129.057,-208.2559,-229.6023
218,-141.6231,-209.9683,-234.6913
219,-153.3365,-200.1508,-229.2279
220,-147.1429,-203.003,-231.9817
221,-151.8157,-201.1657,-229.7537
222,-158.4414,-203.7234,-229.0985
223,-152.9848,-201.6348,-227.126
224,-163.1229,-207.1994,-239.2244
225,-159.9982,-213.5286,-232.8709
226,-163.8357,-206.5805,-230.6053
